location_name,tso,country_hint,lat_lon,resistance_ohm,reactance_ohm,susceptance_us,segment_length_km
HERSE(LA),RTE,fr,"49.3608110808547, 2.70217096336823",1.23,12.47,154.36,61.75
HOLQUE,RTE,fr,"50.8557684669474, 2.2164851851833",0.78,5.21,46.88,12.94
HORTA,ELIA,be,"51.141047, 3.55011336",0.40,4.26,50.27,13.00
HOUDREVILLE,RTE,fr,"48.525630580668185, 6.087002533076835",0.33,3.56,38.10,10.82
HOUFFALIZE,ELIA,be,"50.09198799999999, 5.7520195",0.02,0.09,1.06,0.30
HOURAT (LE),RTE,fr,"42.9842384983961, -0.428985255177515",0.56,2.60,16.96,6.20
HUTA CZESTOCHOWA,PSE,pl,"50.8, 19.17",0.28,2.02,14.13,5.00
Hagenwerder,50HERTZ,de,"51.0721, 14.956199999999999",1.65,14.50,252.30,56.66
Halfeshof,AMPRION GMBH,de,"51.1719, 7.12361",0.46,4.23,74.10,16.91
Hallendorf,TENNETGMBH,de,"52.16, 10.395",0.94,4.64,62.36,15.97
Hamborn,AMPRION GMBH,de,"51.5095, 6.791499999999999",0.26,1.38,17.80,4.73
Hamburg/N,TENNETGMBH,de,"53.86666666666667, 10.056666666666667",0.09,0.79,13.82,4.02
Hamburg/N 50H,TENNETGMBH,de,"53.695, 9.975000000000001",0.31,5.50,97.80,43.25
Hamburg/Nord,50HERTZ,de,"53.7521, 9.9941",1.05,7.88,139.20,31.00
Hamburg/Ost,50HERTZ,de,"53.565, 10.1698",0.99,7.44,131.98,29.43
Hamburg/S,TENNETGMBH,de,"53.5185, 9.771",0.45,3.54,65.20,14.34
Hamburg/Süd,50HERTZ,de,"53.498400000000004, 9.9199",0.99,7.44,131.98,29.43
Handewitt,TENNETGMBH,de,"54.7375, 9.3275",0.23,4.97,86.39,9.24
Hanekenfaehr,AMPRION GMBH,de,"52.48417272727273, 7.313592727272728",2.89,26.26,449.70,103.77
Hannover/W,TENNETGMBH,de,"52.370000000000005, 9.53",2.55,12.72,169.89,43.27
Hardegsen,TENNETGMBH,de,"51.66, 9.92",0.49,8.92,174.08,37.11
Hasdat,TEL,"","45.735002, 22.917416",0.53,3.12,20.00,7.00
Hattingen,AMPRION GMBH,de,"51.39253333333334, 7.175003333333333",0.16,1.44,21.70,5.33
Hattorf,TENNETGMBH,de,"52.37, 10.76",1.00,9.20,162.19,65.27
Hausruck,APG,at,"48.086023, 13.906898",0.43,4.87,69.05,17.10
Heide/W,TENNETGMBH,de,"54.17, 9.049999999999999",0.30,5.47,105.09,22.62
Heidelberg,TRANSNETBW,de,"49.269999999999996, 8.62",0.18,0.90,11.69,3.00
Heilbronn,TRANSNETBW,de,"49.21, 9.14",0.21,1.90,29.91,7.00
Heinersdorf,50HERTZ,de,"52.4426, 14.1372",1.54,10.45,185.07,41.71
Helmstedt,TENNETGMBH,de,"52.194280000000006, 11.008840000000001",0.75,6.80,105.64,1.79
Hengelo,TENNET NL,nl,"52.2436, 6.818194999999999",0.30,2.90,45.52,16.40
Hennigsdorf,50HERTZ,de,"52.6578, 13.2065",1.64,11.98,215.89,46.43
Herbertingen,TRANSNETBW,de,"48.09195, 9.445286",0.00,0.05,0.63,0.30
Herbertingen Amprion,TRANSNETBW,de,"48.1121, 9.458275",0.00,0.05,0.63,0.30
Hesseln,AMPRION GMBH,de,"52.0761, 8.32778",0.25,5.24,84.40,20.09
Hessenberg,APG,at,"47.40516366666666, 15.029002666666665",8.03,39.50,267.57,95.20
Hessenweg,TENNET NL,nl,"52.54, 6.2",0.75,8.26,138.12,31.41
Heviz,MAVIR,hu,"46.72400370648148, 16.930213425925928",1.34,17.74,287.30,68.18
Hoepfingen,TRANSNETBW,de,"49.6, 9.45",0.85,10.98,389.00,42.25
Hoheneck,TRANSNETBW,de,"48.91733333333334, 9.177999999999999",0.14,1.74,27.21,12.86
Hollandse Kust Noord Landstation,TENNET NL,nl,"52.49, 4.62",0.00,0.02,12.82,0.17
Homburg,AMPRION GMBH,de,"49.3049, 7.3191",1.76,9.04,116.90,31.04
Hradec,CEPS,cz,"50.43073194615385, 13.24960133076923",1.23,10.94,174.50,29.60
Hueffenhardt,TRANSNETBW,de,"49.29999999999999, 9.09",0.90,8.08,144.80,31.80
Huellen,AMPRION GMBH,de,"51.5254, 7.1229",0.20,1.79,31.30,7.15
Huntorf,TENNETGMBH,de,"53.21000000000001, 8.42",0.74,4.30,33.07,5.52
Husum/N,TENNETGMBH,de,"54.519999999999996, 9.09",0.51,9.33,181.83,38.70
ILE-NAPOLEON,RTE,fr,"47.7687463081762, 7.38132918119189",0.67,4.47,32.51,11.22
ISSEL,RTE,fr,"43.394422191018904, 1.99351820389144",1.17,11.87,146.58,25.68
ISSOIRE,RTE,fr,"45.554754359257494, 3.25485796628144",1.28,8.47,60.00,20.90
IZEGEM,ELIA,be,"50.907168299999995, 3.2363565999999997",0.71,7.48,87.65,22.80
IZERNORE,RTE,fr,"46.1994528136117, 5.55018323365599",0.45,2.70,20.04,6.97
Iaz,TEL,"","45.473186, 22.2359",2.18,12.91,80.00,31.00
Ibbenbueren,AMPRION GMBH,de,"52.2873, 7.735799999999999",1.18,5.21,37.60,13.36
Iernut,TEL,"","46.46945633333334, 24.18612933333333",1.13,10.00,97.00,29.00
Ingolstadt,TENNETGMBH,de,"48.8, 11.54",1.36,7.31,93.31,24.39
Inhausen,TENNETGMBH,de,"53.62, 8.05",0.07,0.70,10.32,2.52
Irsching,TENNETGMBH,de,"48.765, 11.585",1.12,12.21,155.65,40.15
Isaccea,TEL,"","45.25729414285714, 28.46740314285714",0.58,8.57,112.45,6.10
Isalnita,TEL,"","44.42666666666667, 23.656666666666666",0.68,3.84,26.00,10.00
Isar,TENNETGMBH,de,"48.58, 12.36",1.36,15.80,288.02,63.46
Itzehoe/W,TENNETGMBH,de,"53.95000000000001, 9.48",3.74,19.84,154.98,51.83
J. Bohunice,SEPS,sk,"48.490825, 17.693031",0.46,5.41,83.43,41.00
JACQUARD,RTE,fr,"45.4439754149128, 4.37586962132668",1.01,6.75,48.40,16.74
JALIS,RTE,fr,"43.622304400594, 0.586730676443699",5.57,28.65,202.79,71.15
JAMKI,PSE,pl,"50.33, 19.27",0.83,4.72,28.74,10.90
JANOW,PSE,pl,"51.760000000000005, 19.56",1.39,8.09,50.97,19.00
JASINIEC,PSE,pl,"53.144000000000005, 18.113999999999997",0.88,10.07,109.86,31.73
JOACHIMOW,PSE,pl,"50.766, 19.326",0.36,2.58,17.50,6.30
JONQUIERES,RTE,fr,"43.83674276264637, 4.589990779311646",1.24,8.27,70.22,21.71
JOUX-LA-VILLE,RTE,fr,"47.6434676200661, 3.88206504913054",1.54,7.83,53.35,19.04
JUMEAUX (LES),RTE,fr,"46.8097167570599, -0.06371181372334299",0.33,2.21,15.87,5.51
JUPILLE,ELIA,be,"50.6485013, 5.623648299999999",1.30,8.59,58.58,21.38
Jardelund,TENNETGMBH,de,"54.855000000000004, 9.204999999999998",0.30,3.47,43.67,0.96
Jessen/Nord,50HERTZ,de,"51.803333333333335, 13.061733333333335",0.25,2.06,36.28,7.95
Jochenstein,APG,at,"48.529376, 13.721023",2.08,9.60,71.66,24.50
Jozsa,MAVIR,hu,"47.61607, 21.51192",1.66,19.63,192.48,58.08
KATOWICE,PSE,pl,"50.27, 19.05",0.94,6.85,46.07,16.70
KEDZIERZYN,PSE,pl,"50.34, 18.2",2.36,16.27,123.16,41.90
KEMBS,RTE,fr,"47.6544494592669, 7.51696833304807",0.34,1.59,10.49,3.81
KHMELNYTSKYI,PSE,pl,"50.296, 26.645",6.33,113.60,1604.00,114.20
KIELCE,PSE,pl,"50.9, 20.41",1.17,7.41,46.47,17.20
KIELCE PIASKI,PSE,pl,"50.91, 20.64",1.17,7.41,46.47,17.20
KLIKOWA,PSE,pl,"50.06, 20.94",1.80,20.92,223.93,64.00
KOKSOCHEMIA,PSE,pl,"50.34, 19.31",1.53,11.51,72.87,27.20
KOMOROWICE,PSE,pl,"49.86, 19.05",0.76,5.43,38.31,13.50
KONIN,PSE,pl,"52.198, 18.308",0.29,1.70,11.47,4.10
KOPANINA,PSE,pl,"50.04563206, 18.73525712",2.92,17.56,118.37,62.21
KOZIENICE,PSE,pl,"51.66363636363636, 21.463636363636365",2.63,18.07,137.77,46.70
KRAJNIK,PSE,pl,"53.18574000000001, 14.443540000000002",0.35,3.89,50.50,12.84
KROMOLICE,PSE,pl,"51.77666666666667, 17.30666666666667",0.86,8.99,121.42,30.80
KROSNO ISKRZYNIA,PSE,pl,"49.69, 21.85",1.90,22.85,229.16,67.70
KUES Luengenkamp,AMPRION GMBH,de,"51.8, 6.58056",1.06,11.44,178.90,43.20
Kainachtal,ELES,si,"46.78592733333334, 15.524697074074075",0.72,9.03,105.87,28.82
Kaprun,APG,at,"47.200065, 13.021936",0.62,12.11,177.41,43.20
Karben,TENNETGMBH,de,"50.284000000000006, 9.004",0.63,5.50,97.93,21.20
Karlsruhe,TRANSNETBW,de,"49.01, 8.45",0.18,0.89,10.62,2.63
KarlsruheWest,TRANSNETBW,de,"49.019999999999996, 8.36",0.08,0.70,11.37,3.50
Karnap,AMPRION GMBH,de,"51.5167, 6.99528",0.39,3.63,63.00,14.45
Kassoe,TENNETGMBH,de,"54.883500000000005, 9.274999999999999",0.30,3.47,43.67,0.96
Kelsterbach,AMPRION GMBH,de,"50.0464, 8.535",0.37,3.42,72.60,15.04
Kerepes,MAVIR,hu,"47.54042, 19.33173",1.09,5.52,69.12,18.45
Kiel/S,TENNETGMBH,de,"54.28, 10.16",1.30,7.49,57.49,19.35
Kiel/W,TENNETGMBH,de,"54.34, 10.06",1.30,7.49,57.49,19.35
Kisvarda,MAVIR,hu,"48.20240833, 22.07461944",2.16,11.15,74.14,29.40
Klaus,APG,at,"47.821391, 14.163168",3.47,18.00,128.35,67.40
Klece,ELES,si,"46.09779444444445, 14.49444722222222",0.78,5.27,38.00,13.19
Kledering,APG,at,"48.139133, 16.444773",0.12,0.65,7.52,2.10
Klein Ilsede,TENNETGMBH,de,"52.28, 10.23",0.26,2.33,42.19,9.21
Kletne,CEPS,cz,"49.67951, 17.9425447",0.98,11.79,166.00,42.10
Klixbuell/S,TENNETGMBH,de,"54.80412, 8.87509",0.51,9.33,181.83,38.70
Klostermansfeld,50HERTZ,de,"51.5846, 11.5151",3.88,30.28,526.66,117.10
Knapsack,AMPRION GMBH,de,"50.8642, 6.84333",0.35,3.44,53.90,13.01
Koblenz,AMPRION GMBH,de,"50.39306666666667, 7.600276666666667",1.09,10.47,168.00,40.05
Kocin,CEPS,cz,"49.16521780000001, 14.356477800000002",0.83,10.00,141.00,35.60
Koetz,AMPRION GMBH,de,"48.4246, 10.2835",0.69,6.57,114.30,26.17
Konjsko,HOPS,hr,"43.60416333333334, 16.505003333333335",1.75,17.71,196.06,68.56
Kork,TRANSNETBW,de,"48.57, 7.86",1.70,14.29,257.00,56.70
Kosice,SEPS,sk,"48.627477, 21.189789",0.26,3.33,48.41,11.90
Kottigerhook,AMPRION GMBH,de,"52.1773, 7.01012",0.00,0.05,0.40,0.14
Kozlodui,TEL,"","43.755801000000005, 23.785873000000002",1.90,16.74,214.00,102.00
Krasikov,CEPS,cz,"49.8604058, 16.6706297",2.40,25.30,297.00,84.10
Krempermarsch,TENNETGMBH,de,"54.010000000000005, 9.337",0.35,4.50,64.29,15.48
Kriegenbrunn,TENNETGMBH,de,"49.56, 10.98",0.08,0.65,13.07,2.75
Kriftel,TENNETGMBH,de,"50.09527142857143, 8.471904285714286",0.13,1.40,19.38,26.84
Krimpen,TENNET NL,nl,"51.915, 4.635",0.23,3.60,71.70,14.84
Krizovany,SEPS,sk,"48.340281222222224, 17.66395222222222",1.79,19.38,234.12,71.43
Krizovany T401,SEPS,sk,"48.338059, 17.66173","","","",""
Kronstorf,APG,at,"48.204029000000006, 14.362577",2.41,34.98,409.66,111.30
Krosno,SEPS,sk,"49.28, 21.560000000000002",1.74,17.75,255.33,79.22
Krsko,HOPS,hr,"45.884938650793664, 15.605426888888886",0.72,7.57,87.94,16.00
Kruckel,AMPRION GMBH,de,"51.46073333333334, 7.420333333333333",0.13,2.69,45.70,10.60
Kruemmel,TENNETGMBH,de,"53.41446666666667, 10.4212",0.00,0.05,0.77,0.23
Kruemmel 50H,TENNETGMBH,de,"53.4298, 10.421199999999999",0.00,0.05,0.77,0.23
Kruen,TENNETGMBH,de,"47.510000000000005, 11.29",0.03,0.27,2.51,0.74
Krümmel,50HERTZ,de,"53.418400000000005, 10.418600000000001",2.96,28.52,495.71,111.42
Kuehmoos,TRANSNETBW,de,"47.786814285714286, 8.012728571428571",0.33,1.69,19.95,10.24
Kuehtai,TENNETGMBH,de,"47.22, 11.01",0.50,2.84,32.72,9.09
Kummerfeld,TENNETGMBH,de,"53.69, 9.77",0.42,7.13,120.13,27.47
Kupferzell,TRANSNETBW,de,"49.24, 9.7",0.99,11.39,217.81,46.78
Kuppenheim,TRANSNETBW,de,"48.7, 8.4",0.01,0.05,0.41,0.10
Kusenhorst,AMPRION GMBH,de,"51.7031, 7.06833",0.58,5.24,86.70,20.36
L. Mara,SEPS,sk,"49.086, 19.49018",1.04,10.85,145.86,37.30
LA TROQUE,ELIA,be,"50.6127337, 5.5063853",0.15,1.01,7.03,2.50
LAGISZA,PSE,pl,"50.35, 19.140000000000004",0.83,4.72,28.74,10.90
LANDERNEAU,RTE,fr,"48.467096295120164, -4.229942255426793",0.25,1.48,11.00,3.83
LANDRES,RTE,fr,"49.3074629877295, 5.77453218291594",1.21,8.02,55.54,19.70
LANEUVEVILLE,RTE,fr,"48.6488577182413, 6.23475058042811",2.84,15.64,111.80,39.04
LANNEMEZAN,RTE,fr,"43.1250043234257, 0.404496202709238",0.78,4.67,33.99,11.75
LARCAY,RTE,fr,"47.3626092830418, 0.776644794817962",0.44,5.84,96.61,22.16
LATENA,RTE,fr,"49.665674659804196, 2.94583713895912",0.65,4.45,32.67,11.27
LATOUR,ELIA,be,"49.90330346666667, 5.5650531333333335",0.02,0.08,0.56,0.20
LAUNAY,RTE,fr,"48.57046524059897, -1.2538880793010634",1.64,21.58,358.30,40.28
LAVERA,RTE,fr,"43.38313338521889, 5.02337231682319",0.06,0.70,10.66,2.54
LAVEYRUNE,RTE,fr,"44.6204955440888, 3.89991180655143",6.68,19.42,121.17,45.19
LE VAL,ELIA,be,"50.6042062, 5.4926766",0.00,0.05,79.17,0.45
LEGUEVIN,RTE,fr,"43.5981229479688, 1.27398730513439",1.62,7.48,49.40,17.99
LESCAR,RTE,fr,"43.32527408292721, -0.42453928373775",1.08,7.27,52.06,18.08
LESNIOW,PSE,pl,"51.99, 15.29",3.72,27.54,179.19,66.20
LESQUIVE,RTE,fr,"43.8218140819519, 1.2783437282628398",2.04,9.14,68.41,24.27
LESZNO,PSE,pl,"51.88, 16.59",4.52,26.09,179.40,64.00
LIGNAT,RTE,fr,"45.7200142183199, 3.26524368765717",0.63,4.20,28.70,10.26
LILLO,ELIA,be,"51.26983184444445, 4.292171675493881",0.09,1.11,7.97,2.48
LIMEUX,RTE,fr,"50.0108783242458, 1.82824314360794",0.72,5.42,1889.02,29.14
LINGOSTIERE,RTE,fr,"43.7246042829598, 7.19255389272361",0.31,2.04,186.59,6.54
LINT,ELIA,be,"51.124330166666674, 4.5153398666666655",0.46,4.56,50.17,14.06
LISKOWIEC,PSE,pl,"49.84658015, 18.6706428",3.01,16.84,112.00,61.98
LIVIERE,RTE,fr,"43.1969437602248, 2.98184949542712",0.82,5.54,161.09,26.83
LIXHE,ELIA,be,"50.7540061, 5.6691551",0.00,0.05,24.53,0.34
LOGELBACH,RTE,fr,"48.08367661366011, 7.30653375058812",0.91,9.25,113.71,10.82
LOGES (LES),RTE,fr,"48.592622623362004, 2.29663772159409",0.38,2.56,69.64,7.20
LOGIS-NEUF,RTE,fr,"44.6843842316416, 4.80118488500837",2.69,12.20,83.68,30.00
LOMZA SYSTEMOWA,PSE,pl,"53.188, 22.157999999999998",1.04,11.18,142.44,37.30
LONG-CHAMP (LE),RTE,fr,"49.3433759678337, 3.47813471814553",4.26,20.97,145.75,0.70
LONGEFAN,RTE,fr,"45.2844311916548, 6.35817064292474",4.49,17.75,122.89,43.67
LONGUENESSE,RTE,fr,"50.754598157981405, 2.2383485832137398",0.78,5.21,46.88,12.94
LONNY,RTE,fr,"49.832811886250944, 4.578709915409295",1.57,19.76,244.00,64.16
LOSCOAT,RTE,fr,"48.4255326554362, -4.49669284034627",1.55,10.31,74.63,25.86
LOSNICE,PSE,pl,"50.5, 19.46",1.53,11.51,72.87,27.20
LOUISFERT,RTE,fr,"47.6904816775623, -1.43098363848178",1.47,14.91,184.07,43.83
LUBLIN SYSTEMOWA,PSE,pl,"51.3, 22.62",1.75,21.08,251.52,68.00
LUBOCZA,PSE,pl,"50.105000000000004, 20.105",1.03,6.48,44.42,15.90
LUMES,RTE,fr,"49.755945657721995, 4.80430051853306",0.40,1.79,12.10,4.70
LUTTERBACH,RTE,fr,"47.75983121623816, 7.265030893153366",1.11,7.45,52.60,18.46
Lacu Sarat,TEL,"","45.222798, 27.854934",2.10,12.20,78.00,29.00
Lage,TENNETGMBH,de,"52.06, 8.48",2.96,12.30,152.51,40.70
Laichingen,TRANSNETBW,de,"48.47, 9.7",0.62,6.65,101.03,23.30
Lambsheim,AMPRION GMBH,de,"49.528533333333336, 8.296333333333331",1.60,14.90,260.60,59.50
Lamspringe,TENNETGMBH,de,"51.96602000000001, 10.02756",0.14,2.50,48.43,10.36
Landesbergen,TENNETGMBH,de,"52.54600000000001, 9.136000000000001",3.35,12.87,168.47,42.69
Lauchstädt,50HERTZ,de,"51.40873333333334, 11.894333333333334",2.10,12.73,230.15,50.87
Laufenburg,TRANSNETBW,de,"47.537885714285714, 8.041631428571428",0.89,10.74,181.90,81.50
Lechhausen,AMPRION GMBH,de,"48.4039, 10.9369",0.84,7.89,133.20,30.95
Lehrte,TENNETGMBH,de,"52.394000000000005, 9.934000000000001",5.65,27.69,179.69,60.97
Lelystad,TENNET NL,nl,"52.59, 5.55",0.42,5.74,88.92,21.00
Lemesany,SEPS,sk,"49.0264016, 21.375256",1.74,17.75,255.33,79.22
Leupolz,APG,at,"47.69992499999999, 10.393275",1.33,10.65,177.97,47.00
Levice,SEPS,sk,"48.237356, 18.60813",0.41,4.46,55.62,14.70
Lienz,APG,at,"46.82507, 12.805809",1.85,26.76,311.36,85.00
Liessem,AMPRION GMBH,de,"50.6436, 7.13833",1.25,10.79,186.80,42.87
Limburg,AMPRION GMBH,de,"50.4072, 8.06583",0.76,7.14,118.30,27.76
Linde,AMPRION GMBH,de,"51.2328, 7.23472",0.77,7.13,124.60,28.45
Lippborg,AMPRION GMBH,de,"51.683, 7.9923",0.01,0.07,1.20,0.28
Lippe,AMPRION GMBH,de,"51.6448, 7.40353",0.66,6.07,104.70,24.08
Liskovec,CEPS,cz,"49.71816030000001, 18.3262856",5.94,27.32,178.30,71.30
Liskovec ,SEPS,sk,"49.7081603, 18.3162856","","","",""
Liter,MAVIR,hu,"47.10734167, 18.01603611",2.03,24.30,236.25,71.10
Lotru,TEL,"","45.365131000000005, 24.115549",6.25,36.96,237.00,85.00
Louwsmeer,TENNET NL,nl,"53.2, 5.889999999999999",0.26,2.85,47.70,10.85
Lubmin,50HERTZ,de,"54.14606666666668, 13.688766666666666",1.59,14.44,243.13,56.21
Ludersheim,TENNETGMBH,de,"49.38, 11.32",3.36,16.87,383.90,147.07
Luebeck,TENNETGMBH,de,"53.906666666666666, 10.636666666666668",0.16,1.10,725.71,9.99
Lueneburg,TENNETGMBH,de,"53.22, 10.345",0.71,6.51,112.31,25.44
Luestringen,AMPRION GMBH,de,"52.2743, 8.11559",0.50,4.68,80.50,18.53
Lüdershagen,50HERTZ,de,"54.2907, 13.0853",6.59,31.38,404.45,106.54
MACON,RTE,fr,"46.2878798674864, 4.77306427295265",1.89,19.15,215.06,59.04
MAERLANT,ELIA,be,"51.250955, 3.339792",0.11,2.21,725.81,10.05
MALGOVERT,RTE,fr,"45.6191103814202, 6.79095406595433",2.26,10.86,76.00,27.53
MALINTRAT,RTE,fr,"45.81552494532326, 3.2021942509763766",0.36,2.33,16.29,5.75
MAMBELIN,RTE,fr,"47.369706136828796, 6.6662700569213005",1.14,4.79,33.69,11.88
MANDARINS,RTE,fr,"50.90683720715123, 1.7877373268014731",0.61,4.05,29.27,10.12
MANOIR (LE),RTE,fr,"49.3175042878077, 1.2183166187797",0.88,5.92,42.00,14.65
MARCOURT,ELIA,be,"50.14260952, 5.60155934",0.05,0.18,1.96,0.60
MARGERIDE,RTE,fr,"44.7914534090245, 3.28115663340454",3.74,15.12,111.88,38.46
MARLENHEIM,RTE,fr,"48.6117673158279, 7.52598185126324",1.80,11.99,87.04,11.88
MARMAGNE,RTE,fr,"47.1094746048418, 2.26779193187854",2.79,30.90,308.08,36.00
MARQUIS (LE),RTE,fr,"45.01244048361132, -0.5491615899797557",0.27,1.17,39.67,4.81
MARSILLON,RTE,fr,"43.390938837717606, -0.588688906876824",1.08,7.27,52.06,18.08
MARTYRE (LA),RTE,fr,"48.44696503167154, -4.190612610278977",0.25,1.48,11.00,3.83
MASQUET,RTE,fr,"44.620181862232, -0.949969045547153",1.05,6.97,63.38,17.60
MASSENHOVEN,ELIA,be,"51.1954745, 4.56073758",0.46,4.56,50.17,14.06
MASTAING,RTE,fr,"50.3072897351146, 3.3014991356675596",1.89,22.00,308.93,76.15
MAUBEUGE,RTE,fr,"50.263204224412, 3.92893059582542",0.59,2.81,19.75,6.97
MAUGES (LES),RTE,fr,"47.2668110845631, -0.943913068351272",1.56,10.41,75.38,25.07
MAUREIX (LE),RTE,fr,"45.926188921022, 1.46418368388806",2.67,14.73,97.88,35.57
MAZURES,RTE,fr,"49.9158427913452, 4.636924084755989",0.32,3.36,40.12,10.77
MEERHOUT,ELIA,be,"51.117273, 5.0731678",1.20,10.47,114.31,32.31
MENUEL,RTE,fr,"49.49990048078163, -1.5539273557860669",0.73,9.58,159.13,14.30
MERCATOR,ELIA,be,"51.08916276, 4.282722479999999",0.37,4.95,55.02,15.46
MERLATIERE,RTE,fr,"46.7812163103947, -1.3249202182972",0.74,5.82,3282.96,35.44
MERY-SUR-SEINE,RTE,fr,"48.52634105422127, 3.9247587829664567",0.47,5.06,53.26,15.26
MEZEROLLES,RTE,fr,"48.94148660071073, 1.7497958962610836",0.37,2.45,17.70,6.13
MIEGEBAT,RTE,fr,"42.9315827573214, -0.447057504691408",0.56,2.60,16.96,6.20
MIKULOWA,PSE,pl,"51.0934, 15.100953846153846",0.22,2.30,28.37,11.95
MILOSNA,PSE,pl,"52.23285714285714, 21.29285714285714",0.56,6.42,69.94,19.80
MIONS,RTE,fr,"45.682234223301506, 4.982383528566157",0.33,3.01,34.00,9.34
MITRY-MORY (E.D.F.),RTE,fr,"48.9671301378918, 2.63144361447671",0.40,1.99,14.03,4.93
MOHON,RTE,fr,"49.7632267051694, 4.74645812416131",0.40,1.79,12.10,4.70
MOIMONT,RTE,fr,"49.0912427938928, 2.52897165567166",0.87,4.46,40.26,10.85
MOIRANS,RTE,fr,"45.3279992871179, 5.5536822644787",1.07,11.55,127.33,35.41
MOKRE,PSE,pl,"50.71, 23.179999999999996",1.46,9.73,63.41,23.20
MOLE (LA),RTE,fr,"45.3981398032396, 2.36086203764443",1.79,8.35,54.52,19.92
MOLIERE,RTE,fr,"47.8746769496021, -0.307045357909361",0.98,12.42,204.54,14.95
MONCEAU,RTE,fr,"50.395965, 4.3739438",3.08,22.48,108.86,57.99
MONDION,RTE,fr,"46.927519121077, 0.453101037833735",1.28,5.91,41.33,14.14
MONTAGNY-LES-LANCHES,RTE,fr,"45.8653350909466, 6.05689657506617",1.26,12.62,139.45,37.52
MONTCROISETTE,RTE,fr,"50.4504354892694, 2.80197320062867",0.29,1.94,14.13,4.88
MONTEZIC (POSTE EXTERIEUR),RTE,fr,"44.7344979975607, 2.63887178391564",0.16,2.76,19.49,0.00
MONTGROS,RTE,fr,"44.79801159259457, 3.7264419582123867",3.19,9.41,127.81,22.58
MONTGUYON,RTE,fr,"45.2028115305752, -0.217851772619339",2.53,14.39,108.16,36.72
MONTLUCON,RTE,fr,"46.3203740013924, 2.60468354535235",1.75,7.04,48.49,17.28
MONTOIS,RTE,fr,"49.2132297586274, 6.01097812987648",1.92,6.19,39.30,14.58
MONTPELLIER,RTE,fr,"43.595398480707104, 3.86451452589514",1.22,8.12,58.52,19.92
MONTPEZAT,RTE,fr,"44.7027862659092, 4.22950917390919",1.72,7.67,53.43,19.10
MONTVICQ,RTE,fr,"46.3059331934324, 2.82102533832509",1.75,7.04,48.49,17.28
MORBRAS,RTE,fr,"48.787175213200996, 2.6550246166188",0.52,2.48,17.34,6.14
MOREAU,RTE,fr,"43.221274561436104, 2.40045945040708",2.21,9.82,68.44,24.26
MORU,RTE,fr,"49.3111084874038, 2.67460420824312",1.82,8.91,58.90,21.47
MORY,PSE,pl,"52.22, 20.88",0.57,4.27,25.83,9.90
MORZYCZYN,PSE,pl,"53.354, 14.934000000000001",4.12,30.66,214.63,0.00
MOSCISKA,PSE,pl,"52.29, 20.88",0.38,4.54,49.12,14.00
MOSZCZENICA,PSE,pl,"49.94, 18.56",4.35,27.23,179.90,65.70
MOTTE (LA) (VILLENEUVE-LES-AVIGNON),RTE,fr,"43.9891077565843, 4.82739317455951",0.36,2.36,17.08,5.86
MOUCHE (LA),RTE,fr,"45.7302242399595, 4.85438419179804",0.42,4.24,52.00,13.70
MOUGINS,RTE,fr,"43.5841030761031, 7.00818525052157",0.58,4.20,130.16,12.99
MOUGUERRE,RTE,fr,"43.4845161546285, -1.44112565595902",0.38,2.65,179.56,7.97
MOULAINE,RTE,fr,"49.489510643939184, 5.798566949180795",0.79,6.32,42.51,15.20
MOULINEAUX,RTE,fr,"48.836352942359596, 2.2786041177989196",0.57,5.32,339.26,20.70
MOUSSEAUX,RTE,fr,"46.811809295966, 1.72621239479396",4.59,21.71,170.07,51.01
MT-SAINT-MARTIN,RTE,fr,"49.5410478103085, 5.75989653127891",0.23,1.88,12.63,4.52
MUHLBACH,RTE,fr,"47.9113548264147, 7.5599169222233105",1.59,17.98,215.35,0.00
MUREAUX (LES),RTE,fr,"48.9930987653093, 1.89502025812186",0.69,4.59,44.24,11.65
Maade,TENNETGMBH,de,"53.545, 8.055",0.15,1.58,23.62,5.73
Maasbracht,TENNET NL,nl,"51.131109181818175, 5.932270890909091",0.14,1.58,22.84,8.10
Maasvlakte,TENNET NL,nl,"51.92666666666667, 4.026666666666666",0.00,0.05,1.04,0.22
Maasvlakte Converterstation,TENNET NL,nl,"51.957359, 4.021288",0.00,0.05,1.04,0.22
Malchow,50HERTZ,de,"52.5915, 13.4948",0.57,6.21,101.13,23.99
Malesice,CEPS,cz,"50.0950408, 14.5404181",1.30,7.27,51.00,19.80
Marbach,TRANSNETBW,de,"48.83, 9.24",0.55,4.89,74.64,17.77
Maribor,ELES,si,"46.660197000000004, 15.62055548148148",0.72,9.03,105.87,28.82
Marienberg,TENNETGMBH,de,"47.91, 12.13",1.70,16.68,183.26,51.42
Mariselu,TEL,"","46.66811, 23.058758",1.80,10.70,69.00,25.00
Marke,50HERTZ,de,"51.7401, 12.2632",2.10,12.73,230.15,50.87
Martonvasar,MAVIR,hu,"47.340871032857144, 18.835659922857143",0.42,3.03,19.79,7.24
Marzahn,50HERTZ,de,"52.543600000000005, 13.5322",0.76,4.31,71.94,16.94
Matrei,APG,at,"46.9901711, 12.5412417",1.21,17.89,204.58,56.30
Maximiliansau,TRANSNETBW,de,"49.01641111111112, 8.27888888888889",6.12,52.86,459.45,208.90
Mayrhofen,APG,at,"47.172495, 11.860787",0.25,2.80,36.98,9.20
